"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Calvin Johnson","WR","DET                  DET","26","2012","2019","7","$113,450,000","$16,207,143","13.44%","$16,000,000","$31,885,000","$53,250,000","$45,155,000","$50,161,924"
"Larry Fitzgerald","WR","ARI                  ARI","27","2011","2018","7","$113,000,000","$16,142,857","13.41%","$10,000,000","$27,000,000","$45,000,000","$40,250,000","$45,500,000"
"Michael Thomas","WR","NO                  NO","25","2019","2024","5","$96,250,000","$19,250,000","10.23%","$20,000,000","$35,648,043","$60,598,043","$32,648,043","$45,448,043"
"Odell Beckham, Jr.","WR","NYG                  NYG","25","2018","2023","5","$90,000,000","$18,000,000","10.16%","$20,000,000","$40,959,000","$65,000,000","$38,472,388","$52,737,057"
"Mike Evans","WR","TB                  TB","24","2018","2023","5","$82,500,000","$16,500,000","9.31%","","$38,258,000","$55,008,000","$38,258,000","$55,008,000"
"DeAndre Hopkins","WR","HOU                  HOU","24","2017","2022","5","$81,000,000","$16,200,000","9.70%","$7,500,000","$36,500,000","$49,000,000","$36,500,000","$49,000,000"
"Brandin Cooks","WR","LAR                  LAR","24","2018","2022","5","$81,000,000","$16,200,000","9.14%","$7,000,000","$20,459,000","$49,459,000","$38,459,000","$46,476,022"
"Jarvis Landry","WR","CLE                  CLE","25","2018","2022","5","$75,500,000","$15,100,000","8.52%","$7,500,000","$34,000,000","$47,000,000","$34,066,078","$47,147,857"
"Stefon Diggs","WR","MIN                  MIN","24","2018","2023","5","$72,000,000","$14,400,000","8.13%","$15,000,000","$16,907,000","$40,007,000","$26,407,000","$41,238,050"
"Julio Jones","WR","ATL                  ATL","25","2015","2020","5","$71,256,045","$14,251,209","9.95%","$12,000,000","$35,500,000","$47,000,000","$35,510,829","$47,010,829"
"Demaryius Thomas","WR","DEN                  DEN","27","2015","2019","5","$70,000,000","$14,000,000","9.77%","$11,000,000","$35,000,000","$43,500,000","$35,000,000","$47,500,000"
"Dez Bryant","WR","DAL                  DAL","26","2015","2019","5","$70,000,000","$14,000,000","9.77%","$20,000,000","$32,000,000","$45,000,000","$32,000,000","$45,000,000"
