"Player","Pos","Team                     Signed With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"Russell Wilson","QB","SEA                  SEA","30","2019","2023","4","$140,000,000","$35,000,000","18.60%","$65,000,000","$70,000,000","$107,000,000","$88,000,000","$107,000,000"
"Jared Goff","QB","LAR                  LAR","24","2019","2024","4","$134,000,000","$33,500,000","17.80%","$25,000,000","$57,042,682","$110,042,682","$57,063,078","$82,713,078"
"Carson Wentz","QB","PHI                  PHI","26","2019","2024","4","$128,000,000","$32,000,000","17.00%","$16,367,683","$66,470,683","$107,970,683","$56,470,683","$77,776,565"
"DeMarcus Lawrence","DE","DAL                  DAL","26","2019","2023","5","$105,000,000","$21,000,000","11.16%","$25,000,000","$48,000,000","$65,000,000","$48,053,238","$65,053,238"
"Frank Clark","DE","KC                  KC","25","2019","2023","5","$104,000,000","$20,800,000","11.05%","$19,000,000","$43,805,000","$62,305,000","$46,217,047","$65,217,047"
"Michael Thomas","WR","NO                  NO","25","2019","2024","5","$96,250,000","$19,250,000","10.23%","$20,000,000","$35,648,043","$60,598,043","$32,648,043","$45,448,043"
"Trey Flowers","DE","DET                  DET","25","2019","2023","5","$90,000,000","$18,000,000","9.56%","$28,070,000","$40,000,000","$56,000,000","$40,011,607","$54,386,607"
"Ezekiel Elliott","RB","DAL                  DAL","23","2019","2026","6","$90,000,000","$15,000,000","7.97%","$7,500,000","$28,052,137","$50,052,137","$28,124,551","$37,724,551"
"Nick Foles","QB","JAX                  JAX","29","2019","2022","4","$88,000,000","$22,000,000","11.69%","$25,000,000","$45,125,000","$50,125,000","$46,125,000","$66,750,000"
"Dee Ford","OLB","SF                  SF","27","2019","2023","5","$85,500,000","$17,100,000","9.09%","$8,000,000","$19,750,000","$33,350,000","$34,562,500","$41,827,202"
"C.J. Mosley","LB","NYJ                  NYJ","26","2019","2024","5","$85,000,000","$17,000,000","9.03%","$7,500,000","$43,000,000","$51,000,000","$29,150,000","$35,150,000"
"Landon Collins","FS","WAS                  WAS","24","2019","2024","6","$84,000,000","$14,000,000","7.44%","$15,000,000","$31,000,000","$44,500,000","$29,950,000","$42,668,750"
"Xavien Howard","CB","MIA                  MIA","25","2019","2024","5","$75,250,000","$15,050,000","8.00%","$7,000,000","$27,185,641","$39,260,641","$27,256,464","$44,252,049"
"Lane Johnson","RT","PHI                  PHI","28","2019","2025","4","$72,000,000","$18,000,000","9.56%","$3,000,000","$20,350,000","$54,595,000","$26,535,705","$40,250,705"
"Kevin Byard","S","TEN                  TEN","25","2019","2024","5","$70,500,000","$14,100,000","7.49%","$9,000,000","$25,225,000","$31,000,000","$20,125,000","$31,825,000"
"Jaylon Smith","ILB","DAL                  DAL","23","2019","2024","6","$68,421,000","$11,403,500","6.06%","$5,000,000","$19,006,678","$35,406,678","$19,186,704","$26,386,704"
"Ben Roethlisberger","QB","PIT                  PIT","36","2019","2021","2","$68,000,000","$34,000,000","18.07%","$37,500,000","$37,500,000","$37,500,000","$66,000,000","$85,000,000"
"Grady Jarrett","DL","ATL                  ATL","25","2019","2022","4","$68,000,000","$17,000,000","9.03%","$18,000,000","$38,000,000","$42,500,000","$38,062,690","$51,562,690"
"Anthony Barr","OLB","MIN                  MIN","26","2019","2023","5","$67,500,000","$13,500,000","7.17%","$13,000,000","$15,900,000","$33,000,000","$26,104,454","$38,566,954"
"Julio Jones","WR","ATL                  ATL","29","2019","2023","3","$66,000,000","$22,000,000","11.69%","$25,000,000","$64,000,000","$64,000,000","$48,730,948","$64,030,948"
"Za'Darius Smith","ED","GB                  GB","26","2019","2022","4","$66,000,000","$16,500,000","8.77%","$20,000,000","$20,000,000","$20,000,000","$34,531,239","$51,060,650"
"Trenton Brown","RT","OAK                  OAK","25","2019","2022","4","$66,000,000","$16,500,000","8.77%","","$36,250,000","$36,250,000","$36,759,336","$50,759,336"
"Adam Thielen","WR","MIN                  MIN","28","2019","2024","4","$64,200,000","$16,050,000","8.53%","$9,000,000","$14,105,000","$33,000,000","$24,308,124","$35,890,467"
"Deion Jones","LB","ATL                  ATL","24","2019","2022","4","$57,000,000","$14,250,000","7.57%","$11,000,000","$18,800,000","$34,000,000","$26,934,129","$32,096,482"
"Myles Jack","ILB","JAX                  JAX","23","2019","2023","4","$57,000,000","$14,250,000","7.57%","$12,000,000","$26,063,787","$33,063,787","$26,343,188","$36,093,188"
"Brandon Brooks","G","PHI                  PHI","29","2019","2024","4","$56,350,000","$14,087,500","7.49%","$3,911,177","$4,911,177","$30,000,000","$19,749,999","$30,249,999"
"Earl Thomas","FS","BAL                  BAL","29","2019","2022","4","$55,000,000","$13,750,000","7.31%","$20,000,000","$32,000,000","$32,000,000","$32,028,442","$43,028,442"
"Shaq Thompson","ILB","CAR                  CAR","24","2019","2023","4","$54,433,000","$13,608,250","7.23%","$16,000,000","$27,525,000","$27,525,000","$27,636,791","$38,528,545"
"Ali Marpet","G","TB                  TB","25","2019","2023","5","$54,125,000","$10,825,000","5.75%","$2,000,000","$10,374,581","$10,374,581","$13,574,581","$24,199,581"
"Bobby Wagner","ILB","SEA                  SEA","28","2019","2022","3","$54,000,000","$18,000,000","9.56%","$15,000,000","$24,500,000","$40,250,000","$35,500,000","$48,900,000"
"Whitney Mercilus","OLB","HOU                  HOU","28","2019","2021","4","$54,000,000","$13,500,000","7.17%","$7,500,000","$18,000,000","$28,500,000","$24,282,392","$35,400,039"
"Tyreek Hill","WR","KC                  KC","24","2019","2022","3","$54,000,000","$18,000,000","9.56%","$5,800,000","$22,540,000","$35,000,000","$22,847,415","$38,447,915"
"Kwon Alexander","ILB","SF                  SF","24","2019","2022","4","$54,000,000","$13,500,000","7.17%","$4,000,000","$14,250,000","$25,500,000","$15,371,378","$28,583,878"
"Le'Veon Bell","RB","NYJ                  NYJ","26","2019","2022","4","$52,500,000","$13,125,000","6.97%","$8,000,000","$27,000,000","$27,000,000","$28,437,500","$39,937,500"
"Cameron Jordan","DE","NO                  NO","29","2019","2023","3","$52,500,000","$17,500,000","9.30%","$15,500,000","$27,435,000","$42,035,000","$28,850,000","$42,750,000"
"Preston Smith","OLB","GB                  GB","26","2019","2022","4","$52,000,000","$13,000,000","6.91%","$16,000,000","$16,000,000","$16,000,000","$27,537,330","$36,769,683"
"Cody Whitehair","G","CHI                  CHI","26","2019","2024","5","$51,250,000","$10,250,000","5.45%","$6,000,000","$17,526,078","$27,026,078","$17,758,816","$24,258,816"
"Ja'Wuan James","RT","DEN                  DEN","26","2019","2023","4","$51,000,000","$12,750,000","6.77%","$12,000,000","$27,000,000","$32,000,000","$17,150,000","$27,150,000"
"Antonio Brown","WR","OAK                  OAK","30","2019","2021","3","$50,125,000","$16,708,333","8.88%","$1,000,000","$30,125,000","$30,125,000","$32,125,000","$49,625,000"
"La'el Collins","G","DAL                  DAL","25","2019","2024","5","$50,000,000","$10,000,000","5.31%","$9,000,000","$19,966,000","$35,000,000","$20,029,135","$28,148,579"
"Mitch Morse","C","BUF                  BUF","26","2019","2022","4","$44,500,000","$11,125,000","5.91%","$11,000,000","$20,400,000","$26,175,000","$28,387,352","$33,865,293"
"Tyrell Williams","WR","OAK                  OAK","26","2019","2022","4","$44,300,000","$11,075,000","5.88%","","$10,000,000","$22,000,000","$21,200,000","$32,800,000"
"Rodger Saffold","G","TEN                  TEN","30","2019","2022","4","$44,000,000","$11,000,000","5.84%","$9,500,000","$19,000,000","$22,500,000","$23,468,750","$33,409,915"
"Tyler Boyd","WR","CIN                  CIN","24","2019","2023","4","$43,000,000","$10,750,000","5.71%","$7,000,000","$11,080,769","$17,280,769","$18,067,623","$26,502,917"
"Marcus Peters","CB","BAL                  BAL","25","2019","2022","3","$42,000,000","$14,000,000","7.44%","$8,000,000","$21,000,000","$32,468,118","$26,427,692","$37,895,810"
"LaMarcus Joyner","FS","OAK                  OAK","28","2019","2022","4","$42,000,000","$10,500,000","5.58%","","$16,700,000","$21,300,000","$22,047,928","$31,997,928"
"Tyrann Mathieu","S","KC                  KC","26","2019","2021","3","$42,000,000","$14,000,000","7.44%","$14,800,000","$26,800,000","$26,800,000","$27,233,161","$42,033,161"
"Donovan Smith","LT","TB                  TB","25","2019","2021","3","$41,250,000","$13,750,000","7.31%","","$27,000,000","$27,000,000","$24,000,000","$38,250,000"
"Sterling Shepard","WR","NYG                  NYG","25","2019","2023","4","$41,000,000","$10,250,000","5.45%","$10,000,000","$10,760,624","$21,260,624","$17,260,624","$24,260,624"
"Brandon Graham","OLB","PHI                  PHI","30","2019","2022","3","$40,000,000","$13,333,333","7.08%","$12,500,000","$23,500,000","$27,000,000","$24,572,000","$37,572,000"
"Golden Tate","WR","NYG                  NYG","30","2019","2022","4","$37,500,000","$9,375,000","4.98%","$10,000,000","$22,950,000","$22,950,000","$22,358,823","$30,858,823"
"Sheldon Richardson","DT","CLE                  CLE","28","2019","2021","3","$37,000,000","$12,333,333","6.55%","$5,000,000","$15,000,000","$21,000,000","$25,061,086","$37,061,086"
"Kyle Rudolph","TE","MIN                  MIN","29","2019","2023","4","$36,000,000","$9,000,000","4.78%","$7,250,000","$9,250,000","$9,250,000","$16,764,755","$24,702,255"
"Adrian Amos","FS","GB                  GB","25","2019","2022","4","$36,000,000","$9,000,000","4.78%","$11,000,000","$12,000,000","$12,000,000","$21,116,502","$25,670,502"
"Adam Humphries","WR","TEN                  TEN","25","2019","2022","4","$36,000,000","$9,000,000","4.78%","$10,000,000","$12,000,000","$19,000,000","$19,593,750","$26,562,500"
"Justin Coleman","CB","DET                  DET","25","2019","2022","4","$36,000,000","$9,000,000","4.78%","$10,145,000","$16,000,000","$17,900,000","$18,034,404","$27,034,404"
"Quincy Enunwa","WR","NYJ                  NYJ","26","2019","2022","4","$36,000,000","$9,000,000","4.78%","$9,000,000","$10,000,000","$20,078,588","$16,000,000","$23,800,000"
"Kyler Murray","QB","ARI                  ARI","21","2019","2022","4","$35,658,014","$8,914,504","4.74%","$23,589,924","$35,658,014","$35,658,014","$26,380,146","$30,246,386"
"Jordan Hicks","ILB","ARI                  ARI","27","2019","2022","4","$34,000,000","$8,500,000","4.52%","$12,000,000","$17,000,000","$20,000,000","$23,001,759","$26,001,759"
"Rodney Hudson","C","OAK                  OAK","29","2019","2022","3","$33,750,000","$11,250,000","5.98%","","","$24,400,000","$21,939,259","$31,839,259"
"Nick Bosa","DE","SF                  SF","21","2019","2023","4","$33,551,865","$8,387,966","4.46%","$22,421,356","$33,551,865","$33,551,865","$24,805,853","$28,456,023"
"Kenny Moore","CB","IND                  IND","23","2019","2023","4","$33,300,000","$8,325,000","4.42%","","$9,000,000","$9,000,000","$15,107,730","$21,507,730"
"Kareem Jackson","SS","DEN                  DEN","30","2019","2021","3","$33,000,000","$11,000,000","5.84%","","","$23,000,000","$23,038,807","$33,038,807"
"Nick Martin","C","HOU                  HOU","25","2019","2022","3","$33,000,000","$11,000,000","5.84%","$5,000,000","$18,351,132","$18,351,132","$18,672,239","$26,172,239"
"J.C. Tretter","C","CLE                  CLE","27","2019","2022","3","$32,550,000","$10,850,000","5.77%","$6,500,000","$14,500,000","$23,600,000","$20,699,205","$30,134,499"
"Quinnen Williams","DL","NYJ                  NYJ","21","2019","2023","4","$32,529,371","$8,132,343","4.32%","$21,677,724","$32,529,371","$32,529,371","$24,206,922","$27,834,138"
"Bobby Massie","RT","CHI                  CHI","29","2019","2022","4","$32,000,000","$8,000,000","4.25%","$6,500,000","$15,800,000","$15,800,000","$16,074,731","$24,074,731"
"Kevin Zeitler","G","NYG                  NYG","28","2019","2021","3","$32,000,000","$10,666,667","5.67%","$7,500,000","$10,000,000","$10,000,000","$20,000,000","$32,000,000"
"Clelin Ferrell","DE","OAK                  OAK","21","2019","2022","4","$31,360,816","$7,840,204","4.17%","$20,827,864","$31,360,816","$31,360,816","$23,288,548","$26,634,532"
