contract_row,player,player_key,pos,signed_team_raw,signed_team,age_at_signing,start_year,end_year_raw,yrs,value,average_salary,average_of_cap_at_sign,expected_end_year,end_year,end_year_was_fixed
7,Percy Harvin,percy harvin,WR,SEA SEA,SEA,24,2013,2018,6,64245000,10707500,0.0866,2018,2018,FALSE
8,Mike Wallace,mike wallace,WR,MIA MIA,MIA,26,2013,2017,5,60000000,12000000,0.09709999999999999,2017,2017,FALSE
9,Dwayne Bowe,dwayne bowe,WR,KC KC,KC,28,2013,2017,5,56000000,11200000,0.0906,2017,2017,FALSE
13,Greg Jennings,greg jennings,WR,MIN MIN,MIN,29,2013,2017,5,45000000,9000000,0.0728,2017,2017,FALSE
14,Victor Cruz,victor cruz,WR,NYG NYG,NYG,26,2013,2018,5,43000000,8600000,0.0696,2017,2018,FALSE
20,Mike Williams,mike williams,WR,TB TB,TB,25,2013,2018,5,39620000,7924000,0.0641,2017,2018,FALSE
31,Brian Hartline,brian hartline,WR,MIA MIA,MIA,26,2013,2017,5,30775000,6155000,0.049800000000000004,2017,2017,FALSE
33,Danny Amendola,danny amendola,WR,NE NE,NE,27,2013,2017,5,28500000,5700000,0.046099999999999995,2017,2017,FALSE
40,Santonio Holmes,santonio holmes,WR,NYJ NYJ,NYJ,28,2013,2015,3,25250000,8416667,0.0681,2015,2015,FALSE
79,Tavon Austin,tavon austin,WR,STL STL,LA,22,2013,2017,4,12751002,3187751,0.0258,2016,2017,FALSE
85,Wes Welker,wes welker,WR,DEN DEN,DEN,31,2013,2014,2,12000000,6000000,0.048499999999999995,2014,2014,FALSE
110,Brandon Gibson,brandon gibson,WR,MIA MIA,MIA,25,2013,2015,3,9780000,3260000,0.0264,2015,2015,FALSE
117,Davone Bess,davone bess,WR,CLE CLE,CLE,27,2013,2016,3,8817999,2939333,0.023799999999999998,2015,2016,FALSE
120,Donnie Avery,donnie avery,WR,KC KC,KC,28,2013,2015,3,8550000,2850000,0.023099999999999996,2015,2015,FALSE
138,DeAndre Hopkins,deandre hopkins,WR,HOU HOU,HOU,20,2013,2017,4,7626702,1906676,0.0154,2016,2017,FALSE
173,Justin Hunter,justin hunter,WR,TEN TEN,TEN,21,2013,2016,4,5424148,1356037,0.011000000000000001,2016,2016,FALSE
196,Robert Woods,robert woods,WR,BUF BUF,BUF,20,2013,2016,4,4866769,1216692,0.0098,2016,2016,FALSE
234,Donald Jones,donald jones,WR,NE NE,NE,25,2013,2013,3,3710000,1236667,0.01,2015,2013,FALSE
248,Aaron Dobson,aaron dobson,WR,NE NE,NE,21,2013,2016,4,3428370,857093,0.0069,2016,2016,FALSE
277,Terrance Williams,terrance williams,WR,DAL DAL,DAL,23,2013,2016,4,2896972,724243,0.0059,2016,2016,FALSE
279,Victor Cruz,victor cruz,WR,NYG NYG,NYG,26,2013,2013,1,2879000,2879000,0.023299999999999998,2013,2013,FALSE
281,Marquise Goodwin,marquise goodwin,WR,BUF BUF,BUF,22,2013,2016,4,2853876,713469,0.0058,2016,2016,FALSE
284,Keenan Allen,keenan allen,WR,SD SD,LAC,20,2013,2016,4,2813800,703450,0.0057,2016,2016,FALSE
285,Markus Wheaton,markus wheaton,WR,PIT PIT,PIT,21,2013,2016,4,2811376,702844,0.0057,2016,2016,FALSE
301,Stedman Bailey,stedman bailey,WR,STL STL,LA,22,2013,2017,4,2736102,684026,0.0055000000000000005,2016,2017,FALSE
307,Brad Smith,brad smith,WR,PHI PHI,PHI,29,2013,2014,2,2700000,1350000,0.0109,2014,2014,FALSE
314,Ace Sanders,ace sanders,WR,JAX JAX,JAX,21,2013,2016,4,2641448,660362,0.0053,2016,2016,FALSE
315,Josh Boyce,josh boyce,WR,NE NE,NE,21,2013,2016,4,2637000,659250,0.0053,2016,2016,FALSE
328,Kevin Ogletree,kevin ogletree,WR,TB TB,TB,25,2013,2014,2,2600000,1300000,0.0105,2014,2014,FALSE
338,Chris Harper,chris harper,WR,SEA SEA,SEA,NA,2013,2016,4,2572560,643140,0.0052,2016,2016,FALSE
343,Quinton Patton,quinton patton,WR,SF SF,SF,22,2013,2016,4,2551500,637875,0.0052,2016,2016,FALSE
348,Emmanuel Sanders,emmanuel sanders,WR,PIT PIT,PIT,25,2013,2013,1,2500000,2500000,0.0202,2013,2013,FALSE
349,Darrius Heyward-Bey,darrius heyward bey,WR,IND IND,IND,25,2013,2013,1,2500000,2500000,0.0202,2013,2013,FALSE
367,Kenny Stills,kenny stills,WR,NO NO,NO,20,2013,2016,4,2354452,588613,0.0048000000000000004,2016,2016,FALSE
385,Tavarres King,tavarres king,WR,DEN DEN,DEN,22,2013,2016,4,2331480,582870,0.0047,2016,2016,FALSE
395,Corey Fuller,corey fuller,WR,DET DET,DET,22,2013,2016,4,2283100,570775,0.0046,2016,2016,FALSE
398,Ryan Swope,ryan swope,WR,ARI ARI,ARI,NA,2013,2016,4,2275788,568947,0.0046,2016,2016,FALSE
410,Justin Brown,justin brown,WR,PIT PIT,PIT,21,2013,2016,4,2264072,566018,0.0046,2016,2016,FALSE
419,Alan Bonner,alan bonner,WR,HOU HOU,HOU,22,2013,2016,4,2257000,564250,0.0046,2016,2016,FALSE
422,Cobi Hamilton,cobi hamilton,WR,CIN CIN,CIN,22,2013,2016,4,2254052,563513,0.0046,2016,2016,FALSE
438,Brice Butler,brice butler,WR,OAK OAK,LV,22,2013,2016,4,2227500,556875,0.0045000000000000005,2016,2016,FALSE
445,Charles Johnson,charles johnson,WR,GB GB,GB,23,2013,2015,4,2221820,555455,0.0045000000000000005,2016,2015,FALSE
453,Kevin Dorsey,kevin dorsey,WR,GB GB,GB,22,2013,2016,4,2216848,554212,0.0045000000000000005,2016,2016,FALSE
465,Marquess Wilson,marquess wilson,WR,CHI CHI,CHI,20,2013,2016,4,2207148,551787,0.0045000000000000005,2016,2016,FALSE
466,B.J. Daniels,b j daniels,WR,SF SF,SF,23,2013,2016,4,2206512,551628,0.0045000000000000005,2016,2016,FALSE
482,Aaron Mellette,aaron mellette,WR,BAL BAL,BAL,23,2013,2016,4,2205896,551474,0.0045000000000000005,2016,2016,FALSE
488,Jerome Simpson,jerome simpson,WR,MIN MIN,MIN,26,2013,2013,1,2100000,2100000,0.017,2013,2013,FALSE
516,David Reed,david reed,WR,BAL BAL,BAL,25,2013,2014,2,1860000,930000,0.0075,2014,2014,FALSE
520,Lavelle Hawkins,lavelle hawkins,WR,NE NE,NE,26,2013,2014,2,1790000,895000,0.0072,2014,2014,FALSE
534,Josh Cooper,josh cooper,WR,CLE CLE,CLE,23,2013,2015,3,1710000,570000,0.0046,2015,2015,FALSE
535,Michael Preston,michael preston,WR,TEN TEN,TEN,23,2013,2015,3,1710000,570000,0.0046,2015,2015,FALSE
542,Mohamed Massaquoi,mohamed massaquoi,WR,JAX JAX,JAX,26,2013,2014,2,1700000,850000,0.0069,2014,2014,FALSE
549,Brittan Golden,brittan golden,WR,ARI ARI,ARI,24,2013,2016,3,1605000,535000,0.004300000000000001,2015,2016,FALSE
555,Charles Johnson,charles johnson,WR,MIN MIN,MIN,23,2013,2016,3,1530000,510000,0.0041,2015,2016,FALSE
558,Chris Williams,chris williams,WR,CHI CHI,CHI,25,2013,2015,3,1510000,503333,0.0041,2015,2015,FALSE
573,Marcus Davis,marcus davis,WR,NYG NYG,NYG,23,2013,2015,3,1500000,500000,0.004,2015,2015,FALSE
590,Rodney Smith,rodney smith,WR,MIN MIN,MIN,22,2013,2015,3,1497000,499000,0.004,2015,2015,FALSE
592,Dan Buckner,dan buckner,WR,ARI ARI,ARI,22,2013,2015,3,1496000,498667,0.004,2015,2015,FALSE
594,Omarius Hines,omarius hines,WR,BAL BAL,BAL,23,2013,2015,3,1495500,498500,0.004,2015,2015,FALSE
600,Nick Williams,nick williams,WR,WAS WAS,WAS,22,2013,2015,3,1495000,498333,0.004,2015,2015,FALSE
619,Da'Rick Rogers,da rick rogers,WR,BUF BUF,BUF,21,2013,2015,3,1495000,498333,0.004,2015,2015,FALSE
620,Jaron Brown,jaron brown,WR,ARI ARI,ARI,22,2013,2015,3,1494000,498000,0.004,2015,2015,FALSE
632,T.J. Moe,t j moe,WR,NE NE,NE,22,2013,2015,3,1493000,497667,0.004,2015,2015,FALSE
637,Russell Shepard,russell shepard,WR,PHI PHI,PHI,22,2013,2015,3,1492500,497500,0.004,2015,2015,FALSE
639,Erik Highsmith,erik highsmith,WR,MIN MIN,MIN,22,2013,2015,3,1492500,497500,0.004,2015,2015,FALSE
