season,league_avg_team_passing_yards,league_avg_team_passing_tds,league_avg_team_passing_epa,league_avg_team_rushing_yards,league_avg_team_rushing_tds,league_avg_team_rushing_epa
2010,3779.125,23.46875,19.92461544480333,1831.28125,12.46875,-31.738405654258184
2011,3920.125,23.28125,18.687488662210114,1874.8125,12.5625,-24.745776131003016
2012,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
2013,4036.78125,25.125,24.188180101917645,1806.09375,12.8125,-26.241588570656862
2014,4028.0625,25.21875,26.994977124599338,1781.3125,11.875,-36.40251674439285
2015,4146.53125,26.3125,29.82461654549693,1741.375,11.40625,-36.64596891384502
2016,4089.5,24.5625,34.870261472113086,1742.59375,13.84375,-29.263802513871436
2017,3833.34375,23.15625,2.739960585809732,1755.375,11.875,-34.29611218077311
2018,4069.90625,26.46875,32.32163901491479,1831.0625,13.71875,-19.051555478172098
2019,4028.46875,24.90625,25.385335599684765,1806.4375,13.96875,-28.562117610219772
2020,4078.125,27.21875,45.76545471736256,1902.125,16.625,-11.868354334067408
2021,4150,26.25,21.35651900271715,1959.1875,15.78125,-14.454556908964232
2022,3969.875,23.4375,7.265742670345424,2059.1875,15.21875,-13.0262833573058
2023,4017.71875,23.5625,-3.9821788701241383,1915.21875,14.6875,-28.042669124162124
2024,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
2025,3825.40625,25.34375,17.89330084647918,1987.90625,15.9375,-10.108912204974397
