season,team,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa
2010,ARI,3264,10,-166.62191190159487,1388,9,-40.11929590492563
2010,ATL,3725,28,97.59886364211917,1891,14,-42.46451922423506
2010,BAL,3629,25,47.81614595297681,1831,11,-46.973756875643225
2010,BUF,3363,24,-36.755729811901944,1720,6,-47.74534296120835
2010,CAR,2635,9,-158.05366372323684,1846,7,-85.82681897991044
2010,CHI,3397,23,-42.27076026725314,1616,10,-36.92413393356113
2010,CIN,3988,26,33.518565999705615,1522,8,-75.95383122028207
2010,CLE,3203,13,-32.443026524092716,1647,13,-47.33635192001905
2010,DAL,4208,29,42.930672533705014,1786,10,-18.244210861890007
2010,DEN,4306,25,41.158313271841195,1544,13,-61.439596711918554
2010,DET,4001,26,18.13392124462318,1613,11,-39.5976649253597
2010,GB,4355,31,111.60654771944232,1606,11,-22.042018518456995
2010,HOU,4370,24,77.96902591059835,2042,20,17.24007275603685
2010,IND,4700,33,130.54233597675443,1483,13,-22.63100621825154
2010,JAX,3356,26,-3.4658529194366796,2386,14,29.81472537548064
2010,KC,3189,27,44.576051934597615,2627,13,-13.692410636456518
2010,LA,3512,18,-44.42408020200839,1578,9,-63.5380920589749
2010,LAC,4746,30,170.78418693029465,1810,18,-50.15298115018357
2010,LV,3472,18,-12.704574272004846,2493,19,3.9063668245898935
2010,MIA,3752,17,-15.25539257639847,1646,8,-57.05301613265338
2010,MIN,3327,14,-80.8688900851236,1942,16,-33.538859330717244
2010,NE,4022,37,154.15953425673263,1973,19,35.72713265072406
2010,NO,4636,33,83.58477284291082,1519,9,-39.59644456833614
2010,NYG,4002,31,43.217502943625455,2200,17,-62.70806250517033
2010,NYJ,3420,20,-7.09220941213027,2373,14,-15.635215039052774
2010,PHI,4215,28,52.90278545251522,2325,18,47.152938411955844
2010,PIT,3890,22,76.88226298772187,1924,15,-25.52219309674195
2010,SEA,3533,14,-39.87997477964865,1424,13,-49.3583726335678
2010,SF,3613,19,-25.857888721098703,1657,10,-34.86245403276681
2010,TB,3564,26,70.68960812909398,2001,9,-21.674732184535113
2010,TEN,3278,24,27.61488332581189,1727,13,-56.63108440564812
2010,WAS,4261,21,-22.4043316254345,1461,9,-38.20775092458274
2011,ARI,3954,21,-67.98118410171392,1625,12,-14.740825557895226
2011,ATL,4365,29,79.20891431393642,1834,14,-38.5681357694406
2011,BAL,3629,21,31.233818079193057,1996,15,-26.94471725322368
2011,BUF,3857,24,-14.973930770166687,1921,12,3.6875183252664816
2011,CAR,4089,21,52.464595075408745,2408,26,67.52464252656142
2011,CHI,3346,18,-60.71683474402725,2015,10,-35.7388912811104
2011,CIN,3507,21,-3.677669553289491,1778,10,-37.62085342875375
2011,CLE,3300,16,-58.757190154329635,1531,4,-44.72744418455838
2011,DAL,4453,33,88.93281395789863,1807,5,-41.196248009815406
2011,DEN,2708,20,-64.43466140523113,2632,11,-19.46864145857407
2011,DET,5133,41,94.84600542834393,1534,10,-15.789719511560468
2011,GB,5154,51,237.88563122226034,1558,12,-28.813680276335585
2011,HOU,3696,20,55.018400808761406,2448,18,-34.97185980789836
2011,IND,3223,14,-66.48833564080583,1594,8,-48.69915526479008
2011,JAX,2510,12,-129.84817612781305,1970,9,-54.12380030542948
2011,KC,3288,13,-31.896743004502902,1893,5,-65.90917907428025
2011,LA,3258,9,-127.66446902717645,1667,7,-58.4192394802418
2011,LAC,4624,27,102.7422132750464,1864,16,-24.394581180647616
2011,LV,4119,20,38.56543467226406,2110,16,-14.890229116410794
2011,MIA,3425,20,3.952606612573546,1987,11,-38.1279880601507
2011,MIN,3255,20,-73.07273827174372,2318,18,31.87206425709003
2011,NE,5257,39,197.45572853604529,1764,18,17.949883005300588
