contract_row,player,player_key,pos,signed_team_raw,signed_team,age_at_signing,start_year,end_year_raw,yrs,value,average_salary,average_of_cap_at_sign,expected_end_year,end_year,end_year_was_fixed,stat_season,stat_player,stat_team,stat_pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa,league_avg_team_passing_yards,league_avg_team_passing_tds,league_avg_team_passing_epa,league_avg_team_rushing_yards,league_avg_team_rushing_tds,league_avg_team_rushing_epa
7,Percy Harvin,percy harvin,WR,SEA SEA,SEA,24,2013,2018,6,64245000,10707500,0.0866,2018,2018,FALSE,2012,Percy Harvin,MIN,WR,9,85,62,677,3,0,36,367,537,33.23909593480592,0.7294117647058823,7.964705882352941,10.919354838709678,0.03529411764705882,4.317647058823529,8.661290322580646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3234,27,90.68779950592554,2579,16,6.888025349702138,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
8,Mike Wallace,mike wallace,WR,MIA MIA,MIA,26,2013,2017,5,60000000,12000000,0.09709999999999999,2017,2017,FALSE,2012,Mike Wallace,PIT,WR,15,119,64,836,8,2,33,1621,266,6.489959246187855,0.5378151260504201,7.025210084033613,13.0625,0.06722689075630252,13.621848739495798,4.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,13,-19.38581880915974,1802,15,-31.6828702192913,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
9,Dwayne Bowe,dwayne bowe,WR,KC KC,KC,28,2013,2017,5,56000000,11200000,0.0906,2017,2017,FALSE,2012,Dwayne Bowe,KC,WR,13,114,59,801,3,1,43,1433,237,10.226470222248906,0.5175438596491229,7.026315789473684,13.576271186440678,0.02631578947368421,12.570175438596491,4.016949152542373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2937,8,-118.06390441029276,2395,9,-24.963966415634467,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
13,Greg Jennings,greg jennings,WR,MIN MIN,MIN,29,2013,2017,5,45000000,9000000,0.0728,2017,2017,FALSE,2012,Greg Jennings,GB,WR,8,62,36,366,4,0,22,619,164,5.798703784130596,0.5806451612903226,5.903225806451613,10.166666666666666,0.06451612903225806,9.983870967741936,4.555555555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2935,18,-8.861507988147062,2634,16,7.172387415294745,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
14,Victor Cruz,victor cruz,WR,NYG NYG,NYG,26,2013,2018,5,43000000,8600000,0.0696,2017,2018,FALSE,2012,Victor Cruz,NYG,WR,16,143,86,1092,10,0,52,1546,328,34.08312442989265,0.6013986013986014,7.636363636363637,12.69767441860465,0.06993006993006994,10.811188811188812,3.813953488372093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3967,26,56.602434252741816,1862,18,-1.211378923165038,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
20,Mike Williams,mike williams,WR,TB TB,TB,25,2013,2018,5,39620000,7924000,0.0641,2017,2018,FALSE,2012,Mike Williams,TB,WR,16,126,63,996,9,0,44,1634,324,22.53764550205322,0.5,7.904761904761905,15.80952380952381,0.07142857142857142,12.968253968253968,5.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4144,27,25.185199657442,1837,13,-5.257732940363339,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
31,Brian Hartline,brian hartline,WR,MIA MIA,MIA,26,2013,2017,5,30775000,6155000,0.049800000000000004,2017,2017,FALSE,2012,Brian Hartline,MIA,WR,15,131,74,1083,1,1,48,1661,240,34.8765149542535,0.5648854961832062,8.267175572519085,14.635135135135135,0.007633587786259542,12.679389312977099,3.2432432432432434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,13,-19.38581880915974,1802,15,-31.6828702192913,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
33,Danny Amendola,danny amendola,WR,NE NE,NE,27,2013,2017,5,28500000,5700000,0.046099999999999995,2017,2017,FALSE,2012,Danny Amendola,LA,WR,11,101,63,666,3,2,38,785,230,6.053093373148263,0.6237623762376238,6.594059405940594,10.571428571428571,0.0297029702970297,7.772277227722772,3.6507936507936507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4844,34,186.62781792475596,2184,25,23.26362984633556,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
40,Santonio Holmes,santonio holmes,WR,NYJ NYJ,NYJ,28,2013,2015,3,25250000,8416667,0.0681,2015,2015,FALSE,2012,Santonio Holmes,NYJ,WR,4,41,20,272,1,1,15,515,104,2.3148004845065286,0.4878048780487805,6.634146341463414,13.6,0.024390243902439025,12.560975609756097,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3178,14,-81.02455784186743,1896,12,-24.26153268785274,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
79,Tavon Austin,tavon austin,WR,STL STL,LA,22,2013,2017,4,12751002,3187751,0.0258,2016,2017,FALSE,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3783,22,7.723592415377346,1714,5,-34.31552880813452,3935.96875,23.65625,25.408233546659712,1854.65625,12.53125,-23.52128940376425
