season,player,player_key,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target
2010,Adrian Arrington,adrian arrington,NO,WR,1,9,7,79,0,0,3,87,25,4.866324236383662,0.7777777777777778,8.777777777777779,11.285714285714286,0,9.666666666666666,3.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Andre Caldwell,andre caldwell,CIN,WR,13,37,25,345,0,0,16,410,106,14.966496227429221,0.6756756756756757,9.324324324324325,13.8,0,11.08108108108108,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Andre Johnson,andre johnson,HOU,WR,13,138,86,1216,8,1,59,1558,350,46.19893050184536,0.6231884057971014,8.81159420289855,14.13953488372093,0.057971014492753624,11.289855072463768,4.069767441860465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Andre Roberts,andre roberts,ARI,WR,14,49,24,307,2,1,10,433,138,-7.976714661546753,0.4897959183673469,6.26530612244898,12.791666666666666,0.04081632653061224,8.83673469387755,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Anquan Boldin,anquan boldin,BAL,WR,16,109,64,837,7,1,43,1289,221,26.51351046963789,0.5871559633027523,7.678899082568807,13.078125,0.06422018348623854,11.825688073394495,3.453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Anthony Armstrong,anthony armstrong,WAS,WR,15,86,44,871,3,1,32,1481,160,21.072579265792314,0.5116279069767442,10.127906976744185,19.795454545454547,0.03488372093023256,17.22093023255814,3.6363636363636362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Anthony Gonzalez,anthony gonzalez,IND,WR,2,9,5,67,0,0,3,94,16,-0.7158242938729638,0.5555555555555556,7.444444444444445,13.4,0,10.444444444444445,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Antonio Brown,antonio brown,PIT,WR,9,19,16,167,0,0,10,113,111,8.633751073037274,0.8421052631578947,8.789473684210526,10.4375,0,5.947368421052632,6.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Armanti Edwards,armanti edwards,CAR,WR,3,2,0,0,0,0,0,22,0,-3.8193546401453204,0,0,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Arrelious Benn,arrelious benn,TB,WR,14,38,25,395,2,1,18,475,159,27.744288316374877,0.6578947368421053,10.394736842105264,15.8,0.05263157894736842,12.5,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
