season,player_key,player,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception
2010,adrian arrington,Adrian Arrington,NO,WR,1,9,7,79,0,0,3,87,25,4.866324236383662,0.7777777777777778,8.777777777777779,11.285714285714286,0,9.666666666666666,3.5714285714285716
2010,andre caldwell,Andre Caldwell,CIN,WR,13,37,25,345,0,0,16,410,106,14.966496227429221,0.6756756756756757,9.324324324324325,13.8,0,11.08108108108108,4.24
2010,andre johnson,Andre Johnson,HOU,WR,13,138,86,1216,8,1,59,1558,350,46.19893050184536,0.6231884057971014,8.81159420289855,14.13953488372093,0.057971014492753624,11.289855072463768,4.069767441860465
2010,andre roberts,Andre Roberts,ARI,WR,14,49,24,307,2,1,10,433,138,-7.976714661546753,0.4897959183673469,6.26530612244898,12.791666666666666,0.04081632653061224,8.83673469387755,5.75
2010,anquan boldin,Anquan Boldin,BAL,WR,16,109,64,837,7,1,43,1289,221,26.51351046963789,0.5871559633027523,7.678899082568807,13.078125,0.06422018348623854,11.825688073394495,3.453125
2010,anthony armstrong,Anthony Armstrong,WAS,WR,15,86,44,871,3,1,32,1481,160,21.072579265792314,0.5116279069767442,10.127906976744185,19.795454545454547,0.03488372093023256,17.22093023255814,3.6363636363636362
2010,anthony gonzalez,Anthony Gonzalez,IND,WR,2,9,5,67,0,0,3,94,16,-0.7158242938729638,0.5555555555555556,7.444444444444445,13.4,0,10.444444444444445,3.2
2010,antonio brown,Antonio Brown,PIT,WR,9,19,16,167,0,0,10,113,111,8.633751073037274,0.8421052631578947,8.789473684210526,10.4375,0,5.947368421052632,6.9375
2010,armanti edwards,Armanti Edwards,CAR,WR,3,2,0,0,0,0,0,22,0,-3.8193546401453204,0,0,NA,0,11,NA
2010,arrelious benn,Arrelious Benn,TB,WR,14,38,25,395,2,1,18,475,159,27.744288316374877,0.6578947368421053,10.394736842105264,15.8,0.05263157894736842,12.5,6.36
2010,austin collie,Austin Collie,IND,WR,9,70,57,617,8,0,32,583,281,48.5708645224513,0.8142857142857143,8.814285714285715,10.824561403508772,0.11428571428571428,8.32857142857143,4.9298245614035086
2010,ben obomanu,Ben Obomanu,SEA,WR,13,49,30,494,4,0,17,560,169,7.2317189182797454,0.6122448979591837,10.081632653061224,16.466666666666665,0.08163265306122448,11.428571428571429,5.633333333333334
2010,brad smith,Brad Smith,NYJ,WR,16,7,4,44,0,0,2,43,10,-2.015045953191056,0.5714285714285714,6.285714285714286,11,0,6.142857142857143,2.5
2010,brandon gibson,Brandon Gibson,LA,WR,14,91,53,620,2,0,33,966,206,-0.33428664224543425,0.5824175824175825,6.813186813186813,11.69811320754717,0.02197802197802198,10.615384615384615,3.8867924528301887
2010,brandon johnson,Brandon Johnson,CIN,LB,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2010,brandon lafell,Brandon LaFell,CAR,WR,14,77,38,468,1,0,23,792,133,2.8972169793588254,0.4935064935064935,6.077922077922078,12.31578947368421,0.012987012987012988,10.285714285714286,3.5
2010,brandon lloyd,Brandon Lloyd,DEN,WR,16,153,77,1448,11,0,72,2603,180,64.75087099705448,0.5032679738562091,9.4640522875817,18.805194805194805,0.0718954248366013,17.013071895424837,2.3376623376623376
2010,brandon marshall,Brandon Marshall,MIA,WR,14,146,86,1014,3,2,57,1553,235,15.524893255409339,0.589041095890411,6.945205479452055,11.790697674418604,0.02054794520547945,10.636986301369863,2.7325581395348837
2010,brandon stokley,Brandon Stokley,SEA,WR,11,43,31,354,0,0,23,394,89,7.54296840775914,0.7209302325581395,8.232558139534884,11.419354838709678,0,9.162790697674419,2.870967741935484
2010,brandon tate,Brandon Tate,NE,WR,16,46,24,432,3,1,14,631,139,9.416830251087099,0.5217391304347826,9.391304347826088,18,0.06521739130434782,13.717391304347826,5.791666666666667
2010,braylon edwards,Braylon Edwards,NYJ,WR,16,101,53,904,7,1,40,1588,285,34.566938072643666,0.5247524752475248,8.950495049504951,17.056603773584907,0.06930693069306931,15.722772277227723,5.377358490566038
2010,brett swain,Brett Swain,GB,WR,7,9,6,72,0,0,3,63,59,2.905478346045129,0.6666666666666666,8,12,0,7,9.833333333333334
2010,brian hartline,Brian Hartline,MIA,WR,12,73,43,615,1,1,27,941,211,6.169470790248708,0.589041095890411,8.424657534246576,14.30232558139535,0.0136986301369863,12.89041095890411,4.906976744186046
2010,brian robiskie,Brian Robiskie,CLE,WR,13,49,29,310,3,0,12,546,58,3.5726276979327953,0.5918367346938775,6.326530612244898,10.689655172413794,0.061224489795918366,11.142857142857142,2
2010,britt davis,Britt Davis,DEN,WR,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2010,bryant johnson,Bryant Johnson,DET,WR,14,49,18,210,0,0,11,600,63,-9.187930692823581,0.3673469387755102,4.285714285714286,11.666666666666666,0,12.244897959183673,3.5
2010,calvin johnson,Calvin Johnson,DET,WR,15,137,77,1120,12,1,57,1930,304,48.059409606635214,0.5620437956204379,8.175182481751825,14.545454545454545,0.08759124087591241,14.087591240875913,3.948051948051948
2010,carlton mitchell,Carlton Mitchell,CLE,WR,1,1,0,0,0,0,0,12,0,-0.7861207851674408,0,0,NA,0,12,NA
2010,chad hall,Chad Hall,PHI,WR,7,18,11,115,1,0,5,186,21,1.7195435432367958,0.6111111111111112,6.388888888888889,10.454545454545455,0.05555555555555555,10.333333333333334,1.9090909090909092
