contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,termScenario,aavPercPrediction,impliedCap2026,aavPrediction,aavPredictionMillions
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,1,0.013761789726732284,301587301.5873016,4150381.028697038,4.150381028697038
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,2,0.01503310580734581,301587301.5873016,4533793.814913816,4.533793814913816
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,3,0.01924428609837892,301587301.5873016,5803832.315384119,5.803832315384119
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,4,0.029109906942322423,301587301.5873016,8779178.284192478,8.779178284192477
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,5,0.03619486584458565,301587301.5873016,10915911.921382975,10.915911921382975
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,1,0.0050131483985304095,301587301.5873016,1511901.8979694888,1.5119018979694887
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,2,0.006284464479143937,301587301.5873016,1895314.684186267,1.895314684186267
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,3,0.010495644770177052,301587301.5873016,3165353.1846565716,3.1653531846565715
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,4,0.020361265614120563,301587301.5873016,6140699.153464932,6.140699153464932
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,5,0.02744622451638378,301587301.5873016,8277432.790655427,8.277432790655427
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,1,0.0016844959205118673,301587301.5873016,508022.5792019918,0.5080225792019918
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,2,0.0029558120011253914,301587301.5873016,891435.365418769,0.891435365418769
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,3,0.00716699229215851,301587301.5873016,2161473.8658890747,2.1614738658890746
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,4,0.017032613136102014,301587301.5873016,5136819.834697433,5.136819834697433
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,5,0.02411757203836523,301587301.5873016,7273553.4718879275,7.273553471887928
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,1,0.0052610581802837175,301587301.5873016,1586668.3400855658,1.586668340085566
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,2,0.00653237426089724,301587301.5873016,1970081.1263023424,1.9700811263023423
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,3,0.010743554551930358,301587301.5873016,3240119.6267726477,3.2401196267726475
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,4,0.020609175395873862,301587301.5873016,6215465.595581006,6.215465595581006
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,5,0.02769413429813708,301587301.5873016,8352199.232771501,8.3521992327715
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,1,0.005874151470013431,301587301.5873016,1771569.4909564317,1.7715694909564317
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,2,0.007145467550626957,301587301.5873016,2154982.2771732095,2.1549822771732097
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,3,0.011356647841660076,301587301.5873016,3425020.7776435153,3.4250207776435153
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,4,0.021222268685603583,301587301.5873016,6400366.746451875,6.400366746451875
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,5,0.0283072275878668,301587301.5873016,8537100.38364237,8.53710038364237
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,1,0.0022884178476962756,301587301.5873016,690157.7635909403,0.6901577635909403
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,2,0.003559733928309801,301587301.5873016,1073570.5498077178,1.0735705498077177
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,3,0.0077709142193429165,301587301.5873016,2343609.0502780224,2.3436090502780225
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,4,0.017636535063286427,301587301.5873016,5318955.019086383,5.318955019086383
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,5,0.024721493965549644,301587301.5873016,7455688.656276877,7.455688656276877
5450,Austin Watkins,austin watkins,NA,NA,27,NA,PHI,1,0.005007159961019605,301587301.5873016,1510095.861259881,1.510095861259881
5450,Austin Watkins,austin watkins,NA,NA,27,NA,PHI,2,0.006278476041633132,301587301.5873016,1893508.647476659,1.893508647476659
