contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,3,8333333,0.0371,44,28.666666666666668,329,1.6666666666666667,0.08975458975458976,0.4989166666666667,9.919354838709678,0.0042,8.333333
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,1,1030000,0.0037,3,2.3333333333333335,18.333333333333332,0,0.0057377721851406,0.09871794871794871,NA,0.0042,1.03
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,1,1170000,0.0042,1,1,16,0,0.00218818380743982,0.07500000000000001,NA,0.0042,1.17
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,3,901000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,2,984500,0.0039,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9845
5450,Austin Watkins,austin watkins,NA,NA,27,NA,PHI,2,902500,0.00349999999999999,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9025
5451,Avery Davis,avery davis,00-0039186,NA,NA,3,DET,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5452,Bo Melton,bo melton,00-0037091,MeltBo00,26,4,GB,1,1030000,0.0037,14.333333333333334,5.333333333333333,101.66666666666669,0.6666666666666666,0.03105322338830584,0.22823529411764704,NA,0.0042,1.03
5453,Brandon Johnson,brandon johnson,00-0037382,JohnBr23,27,4,PIT,1,1100000,0.0039,0.3333333333333333,0.3333333333333333,3,0,7.246376811594203e-4,0.1,NA,0.0042,1.1
5454,Braxton Berrios,braxton berrios,00-0034419,BerrBr00,30,8,HOU,1,1800000,0.0064,6.666666666666667,4,24.666666666666668,0,0.0119917819151194,0.21777777777777776,NA,0.0042,1.8
5455,Braxton Burmeister,braxton burmeister,NA,NA,27,NA,LA,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5456,Braxton Westfield,braxton westfield,NA,NA,NA,NA,IND,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5457,Braydon Johnson,braydon johnson,NA,NA,NA,NA,BUF,3,903333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.903333
5458,Braylon Sanders,braylon sanders,00-0037355,SandBr00,27,4,WAS,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5459,Brian Cobbs,brian cobbs,00-0039011,NA,26,3,ARI,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
