contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,termScenario,aavPercPrediction,impliedCap2026,aavPrediction,aavPredictionMillions,termProbability,pairId,termModelId,aavModelId,weightedAavPercContribution,weightedAavContribution,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5463,Cedrick Wilson,cedrick wilson,00-0020452,WilsCe00,47,25,MIA,1,-0.003661975202797776,301587301.5873016,-1104405.2198913929,-1.104405219891393,0.9890026645831572,glm_pair,term_ll_final,aavPerc_rl_final,-0.003621703233204448,-1092259.7052521352,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5465,Chris Coleman,chris coleman,00-0019038,ColeCh01,48,26,MIA,1,-0.002628499527345496,301587301.5873016,-792722.0796756259,-0.7927220796756259,0.9879571920816398,glm_pair,term_ll_final,aavPerc_rl_final,-0.0025968450124241736,-783175.4799374493,3,900000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9
5522,Josh Reynolds,josh reynolds,00-0033943,ReynJo00,31,9,NYJ,1,0.005400734114369718,301587301.5873016,1628792.8281432483,1.6287928281432484,0.9867887810552121,glm_pair,term_ll_final,aavPerc_rl_final,0.005329383833522194,1607274.4894749476,1,2750000,0.0098,22,11.666666666666666,132,0.3333333333333333,0.04423296594733105,0.7357777777777778,NA,0.0042,2.75
5587,Tay Martin,tay martin,00-0037524,MartTa00,28,4,WAS,1,-5.517806823157578e-4,301587301.5873016,-166410.04704760952,-0.16641004704760953,0.9812026577740454,glm_pair,term_ll_final,aavPerc_rl_final,-5.414086719965977e-4,-163281.9804434184,1,840000,0.003,2,1.6666666666666667,31.666666666666668,0.3333333333333333,0.00440134414493388,0.13333333333333333,NA,0.0042,0.84
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,1,0.013761789726732284,301587301.5873016,4150381.028697038,4.150381028697038,0.9794710728093987,glm_pair,term_ll_final,aavPerc_rl_final,0.013479274947419831,4065178.1587456637,3,8333333,0.0371,44,28.666666666666668,329,1.6666666666666667,0.08975458975458976,0.4989166666666667,9.919354838709678,0.0042,8.333333
5519,Jordan Matthews,jordan matthews,00-0031299,NA,33,12,CAR,1,0.0075577996824274605,301587301.5873016,2279336.412160663,2.2793364121606627,0.9792531712018838,glm_pair,term_ll_final,aavPerc_rl_final,0.007400999306325681,2232047.409844253,1,1255000,0.0045,1,0,0,0,0.00193050193050193,NA,NA,0.0042,1.255
5554,Marquez Valdes-Scantling,marquez valdes scantling,00-0034272,ValdMa00,31,8,PIT,1,0.004394275486634845,301587301.5873016,1325257.6864454295,1.3252576864454295,0.9718937034780092,glm_pair,term_ll_final,aavPerc_rl_final,0.004270768676808171,1288009.6009421467,1,1255000,0.0045,34,15.666666666666666,217,2,0.06478114478114479,0.5011904761904762,NA,0.0042,1.255
5600,Tyler Lockett,tyler lockett,00-0032211,LockTy00,33,11,LV,1,-0.014399205304498949,301587301.5873016,-4342617.472785397,-4.342617472785397,0.970993645942353,glm_pair,term_ll_final,aavPerc_rl_final,-0.013981536857287903,-4216653.97283286,1,1255000,0.0045,61.333333333333336,37.666666666666664,394,1.3333333333333333,0.11253329796288314,0.5635294117647058,6.22997542997543,0.0042,1.255
5571,Robbie Chosen,robbie chosen,00-0032688,AndeRo04,32,10,WAS,1,-6.261343337948105e-4,301587301.5873016,-188834.1641603397,-0.18883416416033968,0.9687195096622842,glm_pair,term_ll_final,aavPerc_rl_final,-6.065485448164298e-4,-182927.33891289154,1,1255000,0.0045,7.333333333333333,3.6666666666666665,37,0,0.01623630672926447,0.31611111111111106,NA,0.0042,1.255
5570,River Cracraft,river cracraft,00-0034054,CracRi00,31,9,WAS,1,3.3573846601641955e-4,301587301.5873016,101254.45800495194,0.10125445800495195,0.9685442610287436,glm_pair,term_ll_final,aavPerc_rl_final,3.25177564466797e-4,98069.42420427213,1,1170000,0.0042,3,2.3333333333333335,22,0,0.00528169014084507,0.10916666666666668,NA,0.0042,1.17
