feature,coefficient
(Intercept),0.012393347193346158
startYear,1.5456493393952038e-4
ageAtSigning,-1.856715731227026e-4
height,-3.502867189522793e-4
weight,4.30478720060945e-5
combineForty,-1.895826121346956e-4
combineBench,-1.6708047957899084e-4
combineVertical,-7.886479004591868e-5
combineBroadJump,5.312517853188184e-5
combineCone,-2.079533068210468e-4
combineShuttle,8.180465203681735e-5
draftYear,-5.321872590000304e-5
draftRound,-7.107997109802836e-4
draftPick,-2.82896645481348e-4
rookieSeason,-2.555927686063457e-4
yearsExpAtSigning,-4.936440595521666e-4
playerRefAgeGap,2.913305458043599e-4
playerRefRookieGap,-4.828898203909147e-4
observedContractNumber,-1.2416421576631238e-4
prevContractStartYear,-2.606941341791613e-5
prevContractEndYear,1.5744780188328502e-4
prevContractTerm,6.376986137401602e-4
prevContractAav,0.001093960284509755
prevContractAavPerc,0.0010786315619452113
gapSincePrevContractEnd,6.473969161025457e-4
prev1Season,1.1271459699488722e-4
prev2Season,1.0575838496311806e-4
regPrev1Games,-7.29407523206962e-4
regPrev1Targets,-3.1519017766633913e-4
regPrev1Receptions,-2.0429266230923826e-5
regPrev1ReceivingYards,8.282507795813944e-4
regPrev1ReceivingTds,5.429570971861686e-4
regPrev1ReceivingFirstDowns,5.682909688042878e-4
regPrev1ReceivingEpa,7.331222296048483e-4
regPrev1ReceivingAirYards,3.656593952516779e-4
regPrev1ReceivingYardsAfterCatch,-3.792384750052548e-5
regPrev1Carries,4.034399847787165e-4
regPrev1RushingYards,4.323000551468641e-4
regPrev1RushingTds,2.4872196486884246e-4
regPrev1TargetShare,-9.995301666077032e-5
regPrev1AirYardsShare,2.987606677933738e-4
regPrev1Wopr,8.45022528593185e-5
regPrev1TargetsPerGame,-2.2211738778176896e-4
regPrev1ReceptionsPerGame,-2.846309871667158e-4
regPrev1ReceivingYardsPerGame,8.193677300217786e-4
regPrev1ReceivingTdsPerGame,8.806456887420998e-5
regPrev1ReceivingFirstDownsPerGame,4.898031542596205e-4
regPrev1ReceivingEpaPerGame,2.446245166633759e-4
regPrev1CatchRate,1.480818662843386e-4
regPrev1YardsPerTarget,2.3831201760807432e-5
regPrev1YardsPerReception,-9.438421769248053e-5
regPrev1TdPerTarget,-2.7718372331811896e-4
regPrev1AirYardsPerTarget,7.741234895511186e-5
regPrev1YacPerReception,-1.355318842012789e-4
regPrev1RushYardsPerCarry,1.791363446622116e-4
regPrev1TeamTargetShareCalc,-5.971670337943875e-5
regPrev1TeamYardsShareCalc,3.871468823990654e-4
regPrev1TeamTdShareCalc,1.2967557221584344e-4
regPrev1TeamAirYardsShareCalc,3.1846564781943447e-4
regPrev2Games,-6.016327116274917e-4
regPrev2Targets,5.866880272095335e-5
regPrev2Receptions,-2.9361592111155216e-4
regPrev2ReceivingYards,1.2178065258773831e-4
regPrev2ReceivingTds,7.455464345386968e-4
regPrev2ReceivingFirstDowns,1.1633148397045665e-4
regPrev2ReceivingEpa,4.873931115619006e-4
regPrev2ReceivingAirYards,-8.842742966426781e-5
regPrev2ReceivingYardsAfterCatch,-2.807828465887525e-4
regPrev2Carries,-2.976398860679323e-4
regPrev2RushingYards,2.2502737465335433e-4
regPrev2RushingTds,1.9517770832989424e-4
