Feature,Gain,Cover,Frequency
regWeightedReceivingYards,0.22396347294186578,0.002740507580985243,0.0031627372052903968
regWeightedReceivingYardsPerGame,0.11680174969762286,0.01024413449159815,0.0086256469235192635
regPrev1ReceivingYardsPerGame,0.08330342900189104,0.011957706925659036,0.011500862564692352
regPrev1ReceivingFirstDownsPerGame,0.07384425187265153,0.002758894960518356,0.004312823461759632
regPrev1TargetShare,0.038571905240993694,0.0014398631558679776,0.0020126509488211618
ngsWeightedYards,0.03241109831491589,0.002214891203188687,0.002587694077055779
term_X5,0.03090534184870088,0.014972843153813845,0.011788384128809662
prevContractAavPerc,0.028052327740910425,0.016065578851781698,0.022139160437032776
regPrev1ReceivingYards,0.022533196673175205,0.002435802434436515,0.0023001725129384704
ngsWeightedRecTouchdowns,0.02175681479867085,0.006079524365773311,0.005462909718228867
snapPrev1OffensePctMean,0.021427943666933614,0.010499587728683183,0.010063254744105807
regPrev1TeamYardsShareCalc,0.016472355159625113,0.0016727261838123289,0.001437607820586544
term_X4,0.015468538086310699,0.01715227298218867,0.013513513513513514
snapWeightedOffensePctMean,0.013514494181601985,0.016240127618921033,0.014663599769982749
regWeightedReceivingTds,0.012631502222956718,0.004839689631540555,0.004600345025876941
regWeightedReceivingEpa,0.011262736898128557,0.0033107790233622165,0.0034502587694077054
regWeightedReceivingFirstDownsPerGame,0.010026344857461563,0.01072877328072091,0.010350776308223116
regWeightedReceivingFirstDowns,0.009496701847634684,0.0058798899594138,0.005750431282346176
regPrev2ReceivingYards,0.009469847218205225,0.011488172055438475,0.010063254744105807
snapPrev2OffensePctMean,0.008841854781397544,0.010693180567481815,0.011213341000575043
ngsPrev1Receptions,0.0087795392754525,7.351011660488069e-4,5.750431282346176e-4
snapPrev2OffenseSnaps,0.00749419248223016,0.005905500952334921,0.005750431282346176
snapWeightedOffenseSnapsPerGame,0.00669648497630911,0.006841287232145132,0.008050603795284647
regWeightedReceivingYardsAfterCatch,0.006536093782342519,0.007698007779962958,0.006612995974698103
regWeightedTeamYardsShareCalc,0.006527644902097706,0.010972012044258949,0.010638297872340425
regWeightedReceptions,0.006228123788273567,0.0020299667004556655,0.002587694077055779
term_X3,0.006078002433715524,0.011659043346671187,0.0097757331799885
priorTeamSame_yes,0.0060370156448115156,0.0011422502842820214,0.0011500862564692352
ngsPrev2Targets,0.005503956408037421,8.539624408878582e-4,0.0011500862564692352
prevContractAav,0.004415936613731497,0.010506285988370246,0.013513513513513514
prevContractTerm,0.0030905670688094766,0.0067559172557413935,0.007763082231167337
rookieSeason,0.003027726565923256,4.776778525852262e-4,0.0017251293847038527
ngsDeltaReceptions,0.002760487915143357,0.0010877448378088653,8.625646923519264e-4
draftPick,0.002591168246748912,0.0040833116406034315,0.006612995974698103
ngsWeightedAvgYacAboveExpectation,0.0025236248115659363,0.00585572368917028,0.005175388154111558
snapPrev2OffenseSnapsPerGame,0.002453118295410162,0.007816737716376773,0.00718803910293272
yearsExpAtSigning,0.0020981784868430637,0.0046643528338498,0.00488786658999425
ngsDeltaTdPerTarget,0.0020207350463687934,0.004028543517279802,0.0031627372052903968
regDeltaReceivingYardsPerGame,0.002019335715730866,0.001792769504478509,0.0023001725129384704
regPrev2ReceivingYardsPerGame,0.0019798267204837014,0.00632341982143753,0.006612995974698103
ngsWeightedYardsPerTarget,0.0018970127508466685,7.448202095163095e-4,5.750431282346176e-4
regPrev2TeamTdShareCalc,0.0018364519733429334,0.009680823985758712,0.009200690051753882
marketPrev1ContractCount,0.0018175018318641167,4.7006022392150797e-4,0.0011500862564692352
ngsDeltaAvgSeparation,0.0016393948563553464,0.014622432235282807,0.011500862564692352
prevContractStartYear,0.0016230498634259554,0.019005195485425508,0.015526164462334674
regPrev2ReceivingFirstDowns,0.0016183724977308698,0.0037334260757733405,0.004600345025876941
observedContractNumber,0.0015493322041406669,0.0019956873714689336,0.0037377803335250145
regPrev1Receptions,0.0015344193817082442,0.00573870115228454,0.00488786658999425
teamDeltaPassingYardsPerAttempt,0.001515248287486551,0.004388279464002633,0.004312823461759632
snapWeightedOffensePctMax,0.0014457600273627856,0.0035274874250024756,0.0040253018976423235
