class,feature,coefficient
1,(Intercept),2.2588724431413922
1,startYear,0.023614915074293617
1,ageAtSigning,0.3194010453920403
1,height,0.05022288090237895
1,weight,0.012430956601871018
1,combineForty,0
1,combineBench,0
1,combineVertical,0
1,combineBroadJump,0
1,combineCone,0
1,combineShuttle,0
1,draftYear,0
1,draftRound,0
1,draftPick,0
1,rookieSeason,0
1,yearsExpAtSigning,0
1,playerRefAgeGap,0
1,playerRefRookieGap,0
1,observedContractNumber,0.030044992205309623
1,prevContractStartYear,0.28100315248215657
1,prevContractEndYear,0.16668432662371635
1,prevContractTerm,0
1,prevContractAav,-0.01830267878249857
1,prevContractAavPerc,-0.05079587974548384
1,gapSincePrevContractEnd,0.1145507317804488
1,prev1Season,0
1,prev2Season,0
1,regPrev1Games,-0.18918171695418268
1,regPrev1Targets,0
1,regPrev1Receptions,0
1,regPrev1ReceivingYards,-0.1223194048719963
1,regPrev1ReceivingTds,0
1,regPrev1ReceivingFirstDowns,-0.1565326750502869
1,regPrev1ReceivingEpa,-0.0738139942626133
1,regPrev1ReceivingAirYards,0
1,regPrev1ReceivingYardsAfterCatch,0
1,regPrev1Carries,-0.02886697350542093
1,regPrev1RushingYards,-0.0343149713358741
1,regPrev1RushingTds,0
1,regPrev1TargetShare,0
1,regPrev1AirYardsShare,0
1,regPrev1Wopr,0
1,regPrev1TargetsPerGame,0
1,regPrev1ReceptionsPerGame,0
1,regPrev1ReceivingYardsPerGame,-0.1528422525637884
1,regPrev1ReceivingTdsPerGame,0
1,regPrev1ReceivingFirstDownsPerGame,0
1,regPrev1ReceivingEpaPerGame,0
1,regPrev1CatchRate,0
1,regPrev1YardsPerTarget,0
1,regPrev1YardsPerReception,0
1,regPrev1TdPerTarget,0
1,regPrev1AirYardsPerTarget,0
1,regPrev1YacPerReception,-0.005033588546305763
1,regPrev1RushYardsPerCarry,0
1,regPrev1TeamTargetShareCalc,0
1,regPrev1TeamYardsShareCalc,0
1,regPrev1TeamTdShareCalc,-0.007511798830447025
1,regPrev1TeamAirYardsShareCalc,0
1,regPrev2Games,-0.16595850119631533
1,regPrev2Targets,0
1,regPrev2Receptions,0
1,regPrev2ReceivingYards,0
1,regPrev2ReceivingTds,0
1,regPrev2ReceivingFirstDowns,0
1,regPrev2ReceivingEpa,0
1,regPrev2ReceivingAirYards,0
1,regPrev2ReceivingYardsAfterCatch,0
1,regPrev2Carries,0
1,regPrev2RushingYards,0
1,regPrev2RushingTds,0
1,regPrev2TargetShare,0
1,regPrev2AirYardsShare,0
1,regPrev2Wopr,0
1,regPrev2TargetsPerGame,0
1,regPrev2ReceptionsPerGame,0
1,regPrev2ReceivingYardsPerGame,0
1,regPrev2ReceivingTdsPerGame,0
1,regPrev2ReceivingFirstDownsPerGame,0
1,regPrev2ReceivingEpaPerGame,0
1,regPrev2CatchRate,0
1,regPrev2YardsPerTarget,0
1,regPrev2YardsPerReception,0
1,regPrev2TdPerTarget,0
1,regPrev2AirYardsPerTarget,0
1,regPrev2YacPerReception,0
1,regPrev2RushYardsPerCarry,-0.02363616206585007
1,regPrev2TeamTargetShareCalc,0
1,regPrev2TeamYardsShareCalc,0
1,regPrev2TeamTdShareCalc,0
1,regPrev2TeamAirYardsShareCalc,0
1,regYearsAvailable,0
1,regWeightedGames,0
1,regDeltaGames,0
1,regWeightedTargets,0
1,regDeltaTargets,0
1,regWeightedReceptions,0
1,regDeltaReceptions,0
1,regWeightedReceivingYards,0
1,regDeltaReceivingYards,0
1,regWeightedReceivingTds,0
1,regDeltaReceivingTds,0
1,regWeightedReceivingFirstDowns,0
1,regDeltaReceivingFirstDowns,0
1,regWeightedReceivingEpa,0
1,regDeltaReceivingEpa,0
1,regWeightedReceivingAirYards,0
1,regDeltaReceivingAirYards,0
1,regWeightedReceivingYardsAfterCatch,0
1,regDeltaReceivingYardsAfterCatch,0
1,regWeightedCarries,0
1,regDeltaCarries,0
1,regWeightedRushingYards,0
1,regDeltaRushingYards,0
1,regWeightedRushingTds,0
1,regDeltaRushingTds,0
1,regWeightedTargetShare,0
1,regDeltaTargetShare,0
1,regWeightedAirYardsShare,0
1,regDeltaAirYardsShare,0
1,regWeightedWopr,0
1,regDeltaWopr,0
1,regWeightedTargetsPerGame,0
1,regDeltaTargetsPerGame,0
1,regWeightedReceptionsPerGame,0
1,regDeltaReceptionsPerGame,0
1,regWeightedReceivingYardsPerGame,0
1,regDeltaReceivingYardsPerGame,-0.018897091877704827
1,regWeightedReceivingTdsPerGame,0
1,regDeltaReceivingTdsPerGame,0
1,regWeightedReceivingFirstDownsPerGame,0
1,regDeltaReceivingFirstDownsPerGame,-0.03975351355185972
1,regWeightedReceivingEpaPerGame,0
1,regDeltaReceivingEpaPerGame,0
1,regWeightedCatchRate,0
1,regDeltaCatchRate,0
1,regWeightedYardsPerTarget,0
1,regDeltaYardsPerTarget,0
1,regWeightedYardsPerReception,0
1,regDeltaYardsPerReception,0
1,regWeightedTdPerTarget,0
1,regDeltaTdPerTarget,0
1,regWeightedAirYardsPerTarget,0
1,regDeltaAirYardsPerTarget,0
1,regWeightedYacPerReception,-0.013143001102468717
1,regDeltaYacPerReception,0
1,regWeightedRushYardsPerCarry,0
1,regDeltaRushYardsPerCarry,0.0325728201627064
1,regWeightedTeamTargetShareCalc,-0.06946007597581477
1,regDeltaTeamTargetShareCalc,0
1,regWeightedTeamYardsShareCalc,0
1,regDeltaTeamYardsShareCalc,0
1,regWeightedTeamTdShareCalc,0
1,regDeltaTeamTdShareCalc,0
1,regWeightedTeamAirYardsShareCalc,0
1,regDeltaTeamAirYardsShareCalc,0
1,snapPrev1SnapGames,0
1,snapPrev1OffenseSnaps,-0.05255086771337128
1,snapPrev1OffenseSnapsPerGame,0
1,snapPrev1OffensePctMean,0
1,snapPrev1OffensePctMax,0
1,snapPrev1StSnaps,0
1,snapPrev1StSnapsPerGame,0
1,snapPrev1StPctMean,0
1,snapPrev1OffenseSnapShare,0
1,snapPrev2SnapGames,-0.034509025790974465
1,snapPrev2OffenseSnaps,0
1,snapPrev2OffenseSnapsPerGame,0
1,snapPrev2OffensePctMean,0
1,snapPrev2OffensePctMax,0
1,snapPrev2StSnaps,0
1,snapPrev2StSnapsPerGame,0
1,snapPrev2StPctMean,0
1,snapPrev2OffenseSnapShare,0
1,snapYearsAvailable,0
1,snapWeightedSnapGames,0
1,snapDeltaSnapGames,0
1,snapWeightedOffenseSnaps,0
1,snapDeltaOffenseSnaps,0
1,snapWeightedOffenseSnapsPerGame,0
1,snapDeltaOffenseSnapsPerGame,0
1,snapWeightedOffensePctMean,0
1,snapDeltaOffensePctMean,0
1,snapWeightedOffensePctMax,0
1,snapDeltaOffensePctMax,0
1,snapWeightedStSnaps,0
1,snapDeltaStSnaps,0
1,snapWeightedStSnapsPerGame,0
1,snapDeltaStSnapsPerGame,0
1,snapWeightedStPctMean,0
1,snapDeltaStPctMean,0
1,snapWeightedOffenseSnapShare,0
1,snapDeltaOffenseSnapShare,0
1,ngsPrev1Targets,0
1,ngsPrev1Receptions,0
1,ngsPrev1Yards,0
1,ngsPrev1RecTouchdowns,0
1,ngsPrev1CatchPercentage,0
1,ngsPrev1AvgCushion,0
1,ngsPrev1AvgSeparation,0
1,ngsPrev1AvgIntendedAirYards,0
1,ngsPrev1PercentShareOfIntendedAirYards,0
1,ngsPrev1AvgYac,0
1,ngsPrev1AvgExpectedYac,0
1,ngsPrev1AvgYacAboveExpectation,0
1,ngsPrev1YardsPerTarget,0
1,ngsPrev1YardsPerReception,0
1,ngsPrev1TdPerTarget,0
1,ngsPrev2Targets,0
1,ngsPrev2Receptions,0
1,ngsPrev2Yards,0
1,ngsPrev2RecTouchdowns,0
1,ngsPrev2CatchPercentage,0
1,ngsPrev2AvgCushion,-0.018822092598165537
1,ngsPrev2AvgSeparation,0
1,ngsPrev2AvgIntendedAirYards,0
1,ngsPrev2PercentShareOfIntendedAirYards,0
1,ngsPrev2AvgYac,0
1,ngsPrev2AvgExpectedYac,0
1,ngsPrev2AvgYacAboveExpectation,0
1,ngsPrev2YardsPerTarget,0
1,ngsPrev2YardsPerReception,0
1,ngsPrev2TdPerTarget,0
1,ngsYearsAvailable,0
1,ngsWeightedTargets,0
1,ngsDeltaTargets,0
1,ngsWeightedReceptions,0
1,ngsDeltaReceptions,0
1,ngsWeightedYards,0
1,ngsDeltaYards,0
1,ngsWeightedRecTouchdowns,0
1,ngsDeltaRecTouchdowns,0
1,ngsWeightedCatchPercentage,0
1,ngsDeltaCatchPercentage,0
1,ngsWeightedAvgCushion,0
1,ngsDeltaAvgCushion,0
1,ngsWeightedAvgSeparation,0
1,ngsDeltaAvgSeparation,0.06497052714787431
1,ngsWeightedAvgIntendedAirYards,0
1,ngsDeltaAvgIntendedAirYards,-4.1359338422080683e-4
1,ngsWeightedPercentShareOfIntendedAirYards,-0.14158306015218805
1,ngsDeltaPercentShareOfIntendedAirYards,-0.025722053922611624
1,ngsWeightedAvgYac,0
1,ngsDeltaAvgYac,0
1,ngsWeightedAvgExpectedYac,0
1,ngsDeltaAvgExpectedYac,0
1,ngsWeightedAvgYacAboveExpectation,0
1,ngsDeltaAvgYacAboveExpectation,0
1,ngsWeightedYardsPerTarget,0
1,ngsDeltaYardsPerTarget,0
1,ngsWeightedYardsPerReception,0
1,ngsDeltaYardsPerReception,-0.014070213762573069
1,ngsWeightedTdPerTarget,-0.008359582800791092
1,ngsDeltaTdPerTarget,0
1,teamPrev1Games,-0.007638431715657768
1,teamPrev1Wins,-0.055798443526174954
1,teamPrev1Losses,0
1,teamPrev1Ties,0
1,teamPrev1WinPct,0
1,teamPrev1Attempts,0.004994086608111995
1,teamPrev1PassingYards,0
1,teamPrev1PassingTds,0
1,teamPrev1PassingEpa,0
1,teamPrev1PassingCpoe,0
