Feature,Gain,Cover,Frequency
observedContractNumber,0.04914402747981956,0.025957904009530453,0.019084772340466218
yearsExpAtSigning,0.036832825844255665,0.027215133027278366,0.021226550398714933
prevSignedTeam_unknown,0.03370081003534494,0.01127699513829002,0.007075516799571645
playerRefAgeGap,0.03077014084250578,0.01784053152393818,0.014246648691029392
playerRefRookieGap,0.02858145428354489,0.020872997138082553,0.017746161054060773
regWeightedReceivingYards,0.022759918600127296,0.005238929197061561,0.006712179450404452
regPrev1ReceivingEpa,0.02094967822982557,0.012869813706800055,0.007783068479528809
regWeightedReceivingEpa,0.019812211559917532,0.00841819046212623,0.009064310710802593
prevContractStartYear,0.01978918313252224,0.015504385524295316,0.010632398217734687
playerRefMatched_yes,0.01960869453815533,0.007605849542637946,0.005010230814831813
regPrev1ReceivingYards,0.019537845597971962,0.010527748128046889,0.005354445145621785
prevContractAav,0.01825576222625116,0.016402811334126438,0.017057732392480828
combineAvailable_unknown,0.01718732877482427,0.008799560536916565,0.005373568163999006
ageAtSigning,0.016674576124878267,0.024651570416209998,0.016904748245463064
prevContractAavPerc,0.01650726290178782,0.017578275763180513,0.019065649322089
regWeightedReceivingFirstDowns,0.01649348717091627,0.003813786664821274,0.005239707035358461
gapSincePrevContractEnd,0.015619148837687492,0.02642507322850957,0.01506893848124988
regPrev1ReceivingYardsPerGame,0.015320369879199155,0.008127904548229816,0.006157611917465053
regWeightedGames,0.014535311037625686,0.015443364561811883,0.009217294857820359
regWeightedTeamYardsShareCalc,0.012608012748712776,0.003297391556868627,0.003652496510049146
startYear,0.01248355771655399,0.008338249114095522,0.010058707666418067
regWeightedReceivingEpaPerGame,0.012262852350774721,0.008351223534063312,0.007477100185493278
regPrev1ReceivingFirstDownsPerGame,0.011904750868231458,0.01104403865548144,0.005947258715315626
regWeightedReceptions,0.011801676935310713,0.0038093933177027165,0.004971984778077372
prev1Season,0.011627545807387712,0.008048205827001085,0.009006941655670932
marketPrev2ContractCount,0.010938102773033418,0.017529494260962328,0.011186965750674087
prevContractEndYear,0.010571475858841762,0.006709306182132509,0.007706576406019927
prev2Season,0.010129267901804653,0.006370246488886939,0.006559195303386687
regPrev1Receptions,0.009319091576683883,0.0030965039659144634,0.003556881418163043
regPrev1TeamYardsShareCalc,0.008988190939372226,0.003607263631979811,0.0033082821792591744
regPrev1ReceivingFirstDowns,0.008900334251147552,0.0043151585400101255,0.0037863576386896907
snapWeightedSnapGames,0.008431952893551727,0.014325129166548274,0.0069990247260627615
regPrev1ReceptionsPerGame,0.007223401369798294,0.008981571827034157,0.006061996825578949
prevContractTerm,0.007051822990397492,0.003621952528871916,0.0070181477444399825
marketWeightedMedianAav,0.006632574720395531,0.005824504156839986,0.005526552311016771
priorTeamSame_yes,0.006146752428465194,0.012313396439038532,0.007725699424397147
regPrev2ReceivingEpaPerGame,0.005953618861813684,0.0039775333696865905,0.006865163597422217
marketPrev2MedianAav,0.005620202490019904,0.0038037935940846736,0.006826917560667776
regWeightedReceivingYardsPerGame,0.005117319979595842,0.0030251259924914645,0.0035377583997858223
teamYearsAvailable,0.0050129379460939335,0.0022379032218388887,0.0013959803415371083
regPrev1ReceivingEpaPerGame,0.00498892234204737,0.005016459726821194,0.003939341785707456
regYearsAvailable,0.004620029029709492,0.0021345808878245583,0.0013959803415371083
draftYear,0.004426341879447607,0.0045442854451392236,0.006731302468781672
marketPrev1MedianAav,0.004321363960575236,0.0042626385256097545,0.0052205840169812405
ngsWeightedAvgYacAboveExpectation,0.004291215008063687,0.005717282417538709,0.0045321553554012965
teamWeightedReceivingAirYards,0.004279037795626209,0.006272171844377439,0.007897806589792132
regWeightedReceivingYardsAfterCatch,0.004189123370821897,0.0033146293223263296,0.004130571969479663
regPrev1TeamTdShareCalc,0.0037921180984197577,0.0027124199462330504,0.004704262520796283
draftPick,0.0036645270415467993,0.010794555232951987,0.006042873807201729
snapWeightedOffenseSnaps,0.0035696275170152597,0.004588516246782394,0.003270036142504733
