mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,.iter
143,978,5,rmse,standard,0.01036686887901557,5,9.36224947311057e-4,iter13,13
143,887,5,rmse,standard,0.010370351464816095,5,9.375358278206818e-4,iter15,15
140,795,4,rmse,standard,0.010373423680498067,5,9.386495131877326e-4,iter09,9
143,734,2,rmse,standard,0.010375627058065263,5,9.389615898852376e-4,iter06,6
141,952,4,rmse,standard,0.010376498646391676,5,9.410326060909568e-4,iter14,14
138,986,3,rmse,standard,0.01038334816639063,5,9.483488945518996e-4,iter10,10
123,659,2,rmse,standard,0.010386261678895203,5,9.310602961880001e-4,iter02,2
149,866,2,rmse,standard,0.010394040072856079,5,9.313940018014534e-4,iter07,7
140,479,2,rmse,standard,0.010395539342807493,5,9.31448168150713e-4,iter11,11
142,1598,2,rmse,standard,0.01039733207927546,5,9.353880329518641e-4,iter03,3
147,415,3,rmse,standard,0.010403134159254259,5,9.446038890733075e-4,iter01,1
136,694,3,rmse,standard,0.01040603501750701,5,9.580096984743652e-4,iter12,12
129,454,3,rmse,standard,0.010408724289527375,5,9.511972522317563e-4,iter05,5
119,1523,2,rmse,standard,0.01041261301375623,5,9.299791001623452e-4,iter04,4
133,966,8,rmse,standard,0.010413654633987073,5,9.376650957040862e-4,pre0_mod09_post0,0
109,634,2,rmse,standard,0.010433668045389916,5,9.311671213286498e-4,iter08,8
101,1800,21,rmse,standard,0.010516544723701749,5,9.185584462047779e-4,pre0_mod07_post0,0
53,1133,2,rmse,standard,0.010549724084756509,5,9.155036283832873e-4,pre0_mod04_post0,0
150,1300,40,rmse,standard,0.010565804727872495,5,9.048294574334071e-4,pre0_mod10_post0,0
69,300,14,rmse,standard,0.010578797348888797,5,9.165959746056909e-4,pre0_mod05_post0,0
117,466,47,rmse,standard,0.010660954598842524,5,8.92543293810254e-4,pre0_mod08_post0,0
85,1466,60,rmse,standard,0.01081558834388371,5,8.702664306351284e-4,pre0_mod06_post0,0
21,1633,34,rmse,standard,0.010837777687758806,5,8.44100270242637e-4,pre0_mod02_post0,0
37,633,53,rmse,standard,0.010898783211716938,5,8.413309847232918e-4,pre0_mod03_post0,0
5,800,27,rmse,standard,0.01107304292927631,5,7.202514630418979e-4,pre0_mod01_post0,0
