mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config,.iter
105,1352,48,2,0.07588056715039414,1.0659873028235936e-6,0.9804134398309747,rmse,standard,0.009600793140878455,5,7.326532790391054e-4,iter04,4
104,1028,35,4,0.006191160663980092,2.6246448365405674e-6,0.996226084478316,rmse,standard,0.00968793672907686,5,7.169249364210381e-4,iter08,8
109,1072,16,4,0.004999999999999999,8.111308307896872e-5,0.5909090909090909,rmse,standard,0.009810547979733675,5,7.016873096816721e-4,pre0_mod11_post0,0
111,340,45,7,0.12940577382960014,1.06209768413748e-6,0.8997659271123586,rmse,standard,0.00997193209341579,5,7.096868439826228e-4,iter03,3
88,1181,30,9,0.08082091412037395,4.328761281083061e-6,0.9090909090909092,rmse,standard,0.009991639744958737,5,6.506935693257888e-4,pre0_mod09_post0,0
71,770,31,9,0.06191729408482446,1.2750707323268574e-4,0.5013175251351436,rmse,standard,0.010032491098452476,5,6.937681299422066e-4,iter09,9
46,309,23,2,0.02346328179215676,1e-6,0.8181818181818181,rmse,standard,0.01009645117842152,5,7.080392807501361e-4,pre0_mod05_post0,0
119,1289,35,4,0.13483194782745989,6.3678450973751e-5,0.6682688522202429,rmse,standard,0.010160961211332028,5,8.291112589613159e-4,iter05,5
15,1290,72,4,0.01722284947951965,1.873817422860383e-5,0.7727272727272727,rmse,standard,0.010321657486043303,5,6.166499148389101e-4,pre0_mod02_post0,0
68,1298,6,3,0.005809403697948181,0.003491955340195065,0.6294194854243426,rmse,standard,0.010359477470377026,5,7.62698379154618e-4,iter01,1
36,200,65,10,0.04354680106168574,0.0015199110829529332,0.7272727272727273,rmse,standard,0.010602024763258088,5,6.687603438123558e-4,pre0_mod04_post0,0
120,636,80,3,0.05932530883883804,3.511191734215131e-4,0.6363636363636364,rmse,standard,0.010618649691948652,5,6.848992633430969e-4,pre0_mod12_post0,0
57,745,9,5,0.15,0.006579332246575682,0.5,rmse,standard,0.010828975758777419,5,7.273128141676483e-4,pre0_mod06_post0,0
65,410,65,8,0.006667854059069153,8.950961491446035e-5,0.983657009755075,rmse,standard,0.010902543604481478,5,6.941543644767959e-4,iter07,7
28,361,4,10,0.005727678974445242,4.1832342222476156e-6,0.7129126929802354,rmse,standard,0.010980781036188185,5,7.189983265762746e-4,iter02,2
78,1370,58,9,0.13596248340358308,1.8611307034806922e-6,0.5456481936120894,rmse,standard,0.011299658792355276,5,6.174741023978417e-4,iter06,6
5,963,2,7,0.012642159218040233,0.02848035868435799,0.8636363636363636,rmse,standard,0.01167160278038763,5,6.393666217016814e-4,pre0_mod01_post0,0
99,418,44,6,0.00681167242971549,0.12328467394420659,1,rmse,standard,0.014794868117238387,5,4.940044120513651e-4,pre0_mod10_post0,0
117,1060,57,9,0.10839846461442654,0.23409748217273846,0.6836130940749077,rmse,standard,0.01739423131010814,5,3.3540564084872895e-4,iter10,10
67,854,37,2,0.110105118491631,0.5336699231206312,0.9545454545454546,rmse,standard,0.02087701433033437,5,6.008956137868903e-4,pre0_mod07_post0,0
78,1400,58,8,0.03196483793885593,10,0.6818181818181819,rmse,standard,0.021392962272830905,5,5.777425469014776e-4,pre0_mod08_post0,0
25,527,51,3,0.009279776257949226,2.310129700083158,0.5454545454545454,rmse,standard,0.0213937025068832,5,5.771906468429081e-4,pre0_mod03_post0,0
