modelId,modelFamily,engine,package,status,predictorCount,trainRows,validateRows,fitSeconds,predictSeconds,mnLogLoss,rocAuc,brier,accuracy,mse,rmse,mae,rsq,notes
null_majority,null,parsnip,parsnip,ok,500,2795,91,0.004999999999999893,0.006000000000000227,0.7567121492975933,0.5,0.07203893265281953,0.8351648351648352,NA,NA,NA,NA,NA
ordinal_logit_mass,ordinal_logistic,polr,MASS,fit_error,500,2795,91,5.1610000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,attempt to find suitable starting values failed
multinomial_logit_nnet,multinomial_logistic,nnet,nnet,ok,500,2795,91,7.113,0.11500000000000021,1.004209861435324,0.5198586744639377,0.07488254675961149,0.7912087912087912,NA,NA,NA,NA,NA
ridge_glmnet,ridge,glmnet,glmnet,ok,500,2795,91,2.263,0.019999999999999574,0.709925859706033,0.6007553606237817,0.06458103366577472,0.8131868131868132,NA,NA,NA,NA,NA
lasso_glmnet,lasso,glmnet,glmnet,ok,500,2795,91,21.537000000000003,0.01099999999999568,0.58829145743033,0.6452241715399611,0.05990612147054244,0.8131868131868132,NA,NA,NA,NA,NA
elastic_net_glmnet,elastic_net,glmnet,glmnet,ok,500,2795,91,14.153999999999996,0.011000000000002785,0.613196849193505,0.6178931124106564,0.06077632385060437,0.8131868131868132,NA,NA,NA,NA,NA
mlp_nnet,neural_net,nnet,nnet,ok,500,2795,91,137.058,0.030000000000001137,1.1699095848365237,0.5458495776478233,0.1159457902462346,0.7252747252747253,NA,NA,NA,NA,NA
decision_tree_rpart,decision_tree,rpart,rpart,ok,500,2795,91,2.1859999999999786,0.023000000000024556,1.3741292500356062,0.6306652046783625,0.0689525423666985,0.7912087912087912,NA,NA,NA,NA,NA
random_forest_ranger,random_forest,ranger,ranger,ok,500,2795,91,4.180000000000007,0.2079999999999984,0.5694693301477453,0.6732862248213125,0.058718940046857127,0.8021978021978022,NA,NA,NA,NA,NA
xgboost,boosted_tree,xgboost,xgboost,ok,500,2795,91,3.623000000000019,0.00899999999998613,0.5596917079307089,0.6655295646523716,0.057726547373634,0.8131868131868132,NA,NA,NA,NA,NA
lightgbm,boosted_tree,lightgbm,lightgbm,ok,500,2795,91,10.389999999999986,0.025000000000005684,0.6524391656104691,0.6224415204678363,0.062199437783158465,0.8241758241758241,NA,NA,NA,NA,NA
bayes_classifier_unavailable,bayesian_classification,unavailable,brulee/rstanarm,skipped_missing_package,500,2795,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No supported Bayesian baseline package is installed in this environment.
