mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,.iter
150,485,58,mn_log_loss,multiclass,0.7954500544290615,5,0.02384181019978084,iter03,3
148,1502,43,mn_log_loss,multiclass,0.7961836746234802,5,0.02283261782525718,iter07,7
150,1300,40,mn_log_loss,multiclass,0.7962099782816177,5,0.023014821408085747,pre0_mod10_post0,0
122,466,50,mn_log_loss,multiclass,0.7964182165103711,5,0.02449027502945336,iter09,9
150,300,17,mn_log_loss,multiclass,0.7966945208118886,5,0.022376762626639873,iter02,2
145,916,60,mn_log_loss,multiclass,0.7970425315299429,5,0.022998065063655006,iter04,4
101,1800,21,mn_log_loss,multiclass,0.7973863357632626,5,0.023743513556010443,pre0_mod07_post0,0
117,466,47,mn_log_loss,multiclass,0.7981811634850207,5,0.024899401397113753,pre0_mod08_post0,0
127,1776,19,mn_log_loss,multiclass,0.7985609303712056,5,0.023150697463235587,iter06,6
85,1466,60,mn_log_loss,multiclass,0.7990628540615515,5,0.025597340525170185,pre0_mod06_post0,0
109,357,39,mn_log_loss,multiclass,0.7991547862229281,5,0.022704611930181102,iter01,1
78,1737,60,mn_log_loss,multiclass,0.799322759939665,5,0.025147223814558188,iter08,8
69,300,14,mn_log_loss,multiclass,0.8005915553872907,5,0.02528728364393315,pre0_mod05_post0,0
133,966,8,mn_log_loss,multiclass,0.8014006578564759,5,0.02308889582094414,pre0_mod09_post0,0
37,633,53,mn_log_loss,multiclass,0.8014527963774417,5,0.026271744924428995,pre0_mod03_post0,0
21,1633,34,mn_log_loss,multiclass,0.8051174897091389,5,0.026311612527525393,pre0_mod02_post0,0
53,1133,2,mn_log_loss,multiclass,0.8092104359386574,5,0.029404583418767446,pre0_mod04_post0,0
93,759,2,mn_log_loss,multiclass,0.8104125167051116,5,0.030796697080859005,iter05,5
5,800,27,mn_log_loss,multiclass,0.8362398874636005,5,0.032112606818629055,pre0_mod01_post0,0
