mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config,.iter
92,1251,10,4,0.005249286069883381,1.6009406041968578e-4,0.9455826829545666,mn_log_loss,multiclass,0.7875319271173284,5,0.04484527564314386,iter09,9
100,897,8,7,0.005036977215498169,6.5021217734235445e-6,0.891951890895958,mn_log_loss,multiclass,0.7921252696622656,5,0.04762399871691615,iter05,5
104,1340,5,3,0.005460090977347566,0.02759463812575592,0.9897088933203602,mn_log_loss,multiclass,0.7947821589086405,5,0.04761618286762672,iter13,13
42,1153,2,3,0.005107831522001828,0.5048202361593773,0.989101931312913,mn_log_loss,multiclass,0.7979152903806191,5,0.04911136988096958,iter08,8
88,1242,5,4,0.00720978256044791,1.08264562141052e-5,0.8872083255156875,mn_log_loss,multiclass,0.7985663573219003,5,0.04925602553866749,iter07,7
55,1283,16,6,0.005963786824935612,0.002383174004217913,0.9927851247667102,mn_log_loss,multiclass,0.8044976534043065,5,0.053682190741823434,iter12,12
119,1148,7,9,0.007035518192262519,7.884171160095215e-5,0.995363704876136,mn_log_loss,multiclass,0.8088696929726532,5,0.05066587189826918,iter06,6
109,1072,16,4,0.004999999999999999,8.111308307896872e-5,0.5909090909090909,mn_log_loss,multiclass,0.8144113824525218,5,0.057094539346682543,pre0_mod11_post0,0
44,911,5,2,0.005390561511762681,6.421293189669595e-5,0.8302831695844652,mn_log_loss,multiclass,0.8182021460442859,5,0.05097048412663428,iter14,14
36,927,68,4,0.030651082874374933,6.211748491561092e-5,0.990013337240438,mn_log_loss,multiclass,0.8205317816073763,5,0.05513761918878215,iter01,1
38,501,25,2,0.017729188884510874,1.9256244002218302e-5,0.8725855810387293,mn_log_loss,multiclass,0.820796118111555,5,0.05953324321724819,iter03,3
46,309,23,2,0.02346328179215676,1e-6,0.8181818181818181,mn_log_loss,multiclass,0.8224622157915235,5,0.059120286793374846,pre0_mod05_post0,0
5,963,2,7,0.012642159218040233,0.02848035868435799,0.8636363636363636,mn_log_loss,multiclass,0.8314983248156704,5,0.05806095639969514,pre0_mod01_post0,0
103,1030,56,8,0.12341455072687678,1.8297562018045253,0.6246685789705487,mn_log_loss,multiclass,0.8330593170470937,5,0.05686673586423908,iter15,15
120,636,80,3,0.05932530883883804,3.511191734215131e-4,0.6363636363636364,mn_log_loss,multiclass,0.8338911121160586,5,0.058323055397173786,pre0_mod12_post0,0
99,418,44,6,0.00681167242971549,0.12328467394420659,1,mn_log_loss,multiclass,0.8419157907674308,5,0.06023695270377482,pre0_mod10_post0,0
19,1289,72,4,0.0357508571564644,0.0018029221863774209,0.5815532247611321,mn_log_loss,multiclass,0.8423235668944469,5,0.05968045481040312,iter02,2
15,1290,72,4,0.01722284947951965,1.873817422860383e-5,0.7727272727272727,mn_log_loss,multiclass,0.844488294591597,5,0.06309118647445294,pre0_mod02_post0,0
30,1119,75,2,0.13796074686804363,2.561509877124716e-5,0.8566832267513499,mn_log_loss,multiclass,0.8490835735401467,5,0.053183243881116726,iter11,11
36,200,65,10,0.04354680106168574,0.0015199110829529332,0.7272727272727273,mn_log_loss,multiclass,0.8647788431637259,5,0.06667104336511263,pre0_mod04_post0,0
67,854,37,2,0.110105118491631,0.5336699231206312,0.9545454545454546,mn_log_loss,multiclass,0.8749499563008293,5,0.05659613369171553,pre0_mod07_post0,0
117,687,62,4,0.006967791764281966,0.7271224825418662,0.6622354524674127,mn_log_loss,multiclass,0.8911475431296769,5,0.06838871820428856,iter04,4
78,1400,58,8,0.03196483793885593,10,0.6818181818181819,mn_log_loss,multiclass,0.9044176372615629,5,0.07909561333198763,pre0_mod08_post0,0
25,527,51,3,0.009279776257949226,2.310129700083158,0.5454545454545454,mn_log_loss,multiclass,0.9176421803047262,5,0.07553643498889698,pre0_mod03_post0,0
16,861,71,3,0.00501458040207118,1.913009956256026e-6,0.8067791945928009,mn_log_loss,multiclass,0.925550942077967,5,0.0735803353805319,iter10,10
88,1181,30,9,0.08082091412037395,4.328761281083061e-6,0.9090909090909092,mn_log_loss,multiclass,0.9433791749383691,5,0.0593690208725453,pre0_mod09_post0,0
57,745,9,5,0.15,0.006579332246575682,0.5,mn_log_loss,multiclass,1.028324474535777,5,0.06570388625990736,pre0_mod06_post0,0
